species,colony,time,origin,origin_dest_trt,dest,trt,origin_dest,time_origin_dest_trt,chla,chlaratio,totalchl,totalchlratio,chlloss,tank
por,A,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,2.269,0.756,2.896,0.769,23.149,A
por,A,16-Jan,MV,MV_MV_cont,MV,cont,MV_MV,Jan-16_MV_MV_cont,3.002,,3.769,,,B
por,B,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,2.896,1.036,3.866,1.06,-5.979,A
por,B,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,2.797,,3.648,,,B
por,B,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,1.209,0.504,1.652,0.519,48.133,A
por,B,16-Jan,MV,MV_MV_cont,MV,cont,MV_MV,Jan-16_MV_MV_cont,2.4,,3.186,,,B
por,C,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,1.036,0.292,1.18,0.256,74.434,A
por,C,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,3.552,,4.614,,,B
por,C,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,0.815,0.311,1.051,0.307,69.254,A
por,C,16-Jan,MV,MV_MV_cont,MV,cont,MV_MV,Jan-16_MV_MV_cont,2.621,,3.418,,,B
por,D,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,2.345,0.89,3.099,0.936,6.429,C
por,D,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,2.636,,3.312,,,D
por,D,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,3.27,1.061,4.13,1.037,-3.69,C
por,D,16-Jan,MV,MV_MV_cont,MV,cont,MV_MV,Jan-16_MV_MV_cont,3.082,,3.983,,,D
por,E,16-Jan,MV,MV_HV_heat,HV,heat,MV_HV,Jan-16_MV_HV_heat,3.458,0.615,4.469,0.618,38.193,C
por,E,16-Jan,MV,MV_HV_cont,HV,cont,MV_HV,Jan-16_MV_HV_cont,5.625,,7.231,,,D
por,E,16-Jan,MV,MV_MV_heat,MV,heat,MV_MV,Jan-16_MV_MV_heat,3.83,0.562,4.919,0.557,44.334,C
por,E,16-Jan,MV,MV_MV_cont,MV,cont,MV_MV,Jan-16_MV_MV_cont,6.812,,8.837,,,D
por,A,16-Jan,LV,LV_HV_heat,HV,heat,LV_HV,Jan-16_LV_HV_heat,4.055,0.941,5.039,0.933,6.721,A
por,A,16-Jan,LV,LV_HV_cont,HV,cont,LV_HV,Jan-16_LV_HV_cont,4.309,,5.402,,,B
